full_address,lon,lat
"2f4, 81 Henderson Row, Stockbridge, Edinburgh, EH3 5BE",-3.2044342,55.9599822
"3f3, 12 Oxford Street, Newington, Edinburgh, EH8 9PJ",-3.1776151,55.9398178
"3f3, 98 East Claremont Street, Broughton, Edinburgh, EH7 4JZ",-3.1905554,55.9638925
"6 Stevenson Drive, Stenhouse, Edinburgh, EH11 3HJ",-3.2621783,55.9297911
"7 Comiston Place, Morningside, Edinburgh, EH10 6AF",-3.2097062,55.9235226
"Flat 4, 16 St John's Hill, Dumbiedykes, Edinburgh, EH8 9UQ",-3.1806263,55.9486953
"Pf1, 13 Gladstone Terrace, Sciennes, Edinburgh, EH9 1LT",-3.1854843,55.9383036
"16 Robertson's Close, Old Town, Edinburgh, EH1 1LY",-3.1859648,55.9483402
"Flat 1, 5 Atholl Crescent Lane, West End, Edinburgh, EH3 8ET",-3.210610614863523,55.9482073
"25 Shandon Crescent, Polwarth, Edinburgh, EH11 1QF",-3.2328155,55.9328014
"1f1, 1 Barony Place, Broughton, Edinburgh, EH3 6PB",-3.1908955,55.9580617
"3f1, 21 Marchmont Road, Marchmont, Edinburgh, EH9 1HY",-3.1947473,55.9388488
"3f2, 1 Lower Granton Road, Trinity, Edinburgh, EH5 3RX",-3.2238073,55.980925
"4 Gloucester Lane, Stockbridge, Edinburgh, EH3 6ED",-3.206406,55.9549382
"Flat 1, 9 Dicksonfield, Hillside, Edinburgh, EH7 5ND",-3.1784238,55.9612729
"107 Clermiston Road, Corstorphine, Edinburgh, EH12 6UR",-3.2788107,55.9504222
"1f, 20 Melville Terrace, Sciennes, Edinburgh, EH9 1LY",-3.1853982,55.9394338
"1f2, 68 Montpelier Park, Bruntsfield, Edinburgh, EH10 4NQ",-3.2122512,55.9374102
"1f3, 44 King's Road, Portobello West, Edinburgh, EH15 1DX",-3.1194611,55.9579701
"28 Murrayfield Road, Murrayfield, Edinburgh, EH12 6ER",-3.247538,55.9482058
"2f1, 122 Bruntsfield Place, Bruntsfield, Edinburgh, EH10 4ES",-3.207547,55.9369424
"3f3, 6 Montpelier Terrace, Bruntsfield, Edinburgh, EH10 4NF",-3.2128274,55.9382142
"Flat 10, 17 St Leonard's Lane, St Leonards, Edinburgh, EH8 9SD",-3.1782485,55.9430782
"Flat 11, 29 King's Stables Road, Old Town, Edinburgh, EH1 2AP",-3.2011988,55.947178
"Flat 2, 13a Milton Road East, Joppa, Edinburgh, EH15 2ND",-3.0996088,55.9448483
"Flat 2, 177 Pleasance, Newington, Edinburgh, EH8 9RU",-3.181481,55.9446982
"Flat 4, 21 Saltire Street, Granton, Edinburgh, EH5 1RG",-3.2374928,55.9819065
"Flat 4, 63 St Leonard's Street, St Leonards, Edinburgh, EH8 9QR",-3.1795776,55.94278
"16 Regent Place, Abbeyhill, Edinburgh, EH7 5SB",-3.1687662,55.958254
"1f2, 47 Thistle Street, New Town, Edinburgh, EH2 1DY",-3.1992476,55.954017
