id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
11956717,Smart ground floor 2bd parking,63859472,Bernice,,Murrayfield and Ravelston,55.9551,-3.23427,Entire home/apt,108,2,252,2024-08-31,2.32,1,6,24,EH-60443-F
11988317,Luxury Penthouse Apart. sleeps 11,49205818,Arshad,,Slateford and Chesser,55.93152,-3.23559,Entire home/apt,386,2,60,2025-02-16,0.57,3,212,7,
12060563,Stylish Central Edinburgh New Town Flat,32569171,Scott,,Stockbridge,55.95733,-3.20785,Entire home/apt,84,2,463,2025-02-11,4.34,4,35,54,
12089682,Updated Rural Chic Country Barn,29166668,Christopher John,,Balerno and Bonnington Village,55.86697,-3.38366,Entire home/apt,,4,26,2023-07-07,0.27,1,192,0,101002077180
12090592,Beautiful apartment in historic centre,52940259,Martin,,Tollcross,55.94619,-3.19922,Entire home/apt,,3,737,2025-02-06,6.78,3,14,45,
12091028,Cumberland Street apartment in Georgian New Town,64811189,Jacqueline,,Canonmills and New Town North,55.9583,-3.20213,Entire home/apt,98,2,172,2025-02-16,1.93,2,166,50,EH-67949-F
12103887,"Commercial Street, Leith Waterfront",4048288,Martin,,Western Harbour and Leith Docks,55.9775,-3.17569,Entire home/apt,135,3,66,2024-12-16,0.63,10,56,20,EH-70062-F
12121026,Luxury New Town Free Parking and Wi-Fi,64811189,Jacqueline,,Canonmills and New Town North,55.9585,-3.20292,Entire home/apt,107,2,273,2025-02-24,2.53,2,148,64,EH-67948-F
12187152,NEWINGTON HOUSE - PRIVATE GARDEN - OLD TOWN,2636321,John,,Newington and Dalkeith Road,55.93965,-3.17661,Entire home/apt,,3,22,2024-06-23,0.23,4,0,1,
12220926,Royal Mile 2 bedroom 2 bathroom by Castle,11294137,Paul,,"Old Town, Princes Street and Leith Street",55.94834,-3.19332,Entire home/apt,230,3,245,2025-02-20,2.34,7,311,29,
12230169,Lovely one bedroom flat near Haymarket,13447084,Selena,,Gorgie East,55.94171,-3.22473,Entire home/apt,125,2,585,2025-01-01,5.56,2,62,46,
12232873,4 Bedroom City Centre Penthouse Sleeps 8,37726477,Chris,,Hillside and Calton Hill,55.95883,-3.18199,Entire home/apt,248,2,441,2025-02-28,4.15,2,88,66,
12247668,the wendy house- very quiet leafy private Edinburgh,5617637,John & Gail,,Craiglockhart,55.91913,-3.23816,Private room,70,2,268,2025-02-24,2.49,1,41,44,
12269251,Bright modern 2 bedroom Old Town,66075079,Carmen,,"Canongate, Southside and Dumbiedykes",55.94746,-3.18181,Entire home/apt,,3,43,2024-08-22,0.40,1,0,7,EH-76669-T
12278119,Big Double Room in City Centre / Newtown,8579520,Albert,,"Old Town, Princes Street and Leith Street",55.951898525754956,-3.198345752042269,Private room,80,2,165,2025-03-02,1.54,2,0,34,
12283246,Large grange apartment,66188922,Yousef,,The Grange,55.93536,-3.18635,Entire home/apt,594,1,10,2024-08-22,0.10,1,352,4,
12287662,1 Bedroom Central Apartment,45900147,Stay,,Tollcross,55.94443,-3.20226,Entire home/apt,76,2,256,2020-02-29,2.40,1,0,0,
12304631,Luxury Nests - New Town,20233880,Jonathan,,New Town West,55.95509,-3.20124,Entire home/apt,,1,276,2024-08-24,2.56,12,0,23,
12340643,Soul Tent,66621785,Elaine,,Gilmerton South and the Murrays,55.8966126,-3.1478408,Entire home/apt,61,1,18,2025-02-09,2.56,2,354,18,
12384597,Beautiful Central Apt Old Town,3327011,Kaddeer,,"Old Town, Princes Street and Leith Street",55.94667,-3.19921,Entire home/apt,97,2,153,2025-02-11,1.44,3,64,40,
12417467,Delightful Traditional Flat In Canonmills + Garden,36034402,Sitar & Yossi,,Broughton North and Powderhall,55.96394,-3.19349,Entire home/apt,,3,210,2024-12-17,2.00,1,0,28,
12431770,Double room in a quiet area (females only),6104761,Nicola,,Broughton North and Powderhall,55.96882,-3.18826,Private room,64,2,67,2025-01-01,0.64,1,0,13,
12480251,Conveniently located Contemporary Apartment,67550563,Marion,,New Town West,55.95586,-3.2049,Entire home/apt,91,2,545,2025-03-02,5.06,1,26,67,
12533383,"Bright & spacious, close to centre",18044661,Elizabeth,,Marchmont East and Sciennes,55.93874,-3.18328,Entire home/apt,92,2,252,2025-03-04,2.36,1,29,51,EH-70624-F
12559382,Converted Flat in Historic Building in New Town,44620347,Pam,,New Town West,55.95622,-3.19736,Entire home/apt,,1,364,2025-02-14,3.41,1,0,29,
12565583,Mews house - cobbled corner of Edinburgh,10987802,Robert,,The Grange,55.93466,-3.19566,Entire home/apt,,4,29,2025-01-02,0.27,1,0,2,
12586464,Modern Waterfront Park Duplex with Patio & Parking,68259203,Maria,,Granton West and Salvesen,55.97674,-3.25204,Entire home/apt,419,1,21,2025-01-04,0.63,3,18,8,EH-76863-T
12717168,Edinburgh City Centre Apartment,29720331,Greg,,Deans Village,55.95263,-3.2042,Entire home/apt,119,2,735,2025-01-02,6.89,4,167,55,
12766983,"Double Room at the Shore, Leith, Edinburgh.",69463630,Susan,,Great Junction Street,55.97506,-3.17219,Private room,34,2,135,2025-03-02,1.68,1,0,47,EH-69642-F
12800479,Private En-suite Room in Unique Harbourside Cottage,69741223,Annette,,North Leith and Newhaven,55.98057174682617,-3.196805953979492,Private room,73,2,309,2025-02-26,2.88,1,17,56,
12806290,Beautiful Georgian New Town Flat,36605692,Tanya,,Canonmills and New Town North,55.95827,-3.19765,Entire home/apt,320,1,7,2024-08-19,0.22,1,0,4,
12820294,"Central 2bedroom flat &Parking, near transport hub",19435395,Elaine,,Dalry and Fountainbridge,55.94482,-3.21939,Entire home/apt,158,3,324,2025-02-21,3.03,2,23,39,EH-71055-F
12832263,Incredible City Centre New Town Flat: Private Room,70033547,Charlotte,,"Old Town, Princes Street and Leith Street",55.95614,-3.19149,Private room,78,2,314,2025-02-19,2.94,4,133,51,
12877844,Beautiful Duplex By Royal Botanic Gardens,4295122,Alexander,,"Inverleith, Goldenacre and Warriston",55.96968,-3.20695,Entire home/apt,185,1,83,2024-12-29,0.83,2,296,15,
12899915,"5 bedroom 3 bathroom,  Central Penthouse,  Parking",67863557,Inger Lise,,Gorgie East,55.94323,-3.22529,Entire home/apt,,3,117,2025-02-10,1.09,3,0,30,
12917191,Large bright city Luxury Apt,20362390,Steve,,The Grange,55.93683,-3.19233,Private room,75,14,51,2024-10-17,0.49,2,105,2,101002079362
12929512,Beautiful City Centre New Town Flat: Private Room,70033547,Charlotte,,New Town East and Gayfield,55.95701,-3.19348,Private room,98,2,331,2025-02-03,3.17,4,118,46,
12950278,Comfy room. Great reviews. Best city in the world!,65896252,Kathleen,,Merchiston and Greenhill,55.93022,-3.20778,Private room,33,2,176,2025-02-23,1.65,1,15,18,
12971082,Burnets Apartment - FREE WIFI,37408462,Ehab,,"Old Town, Princes Street and Leith Street",55.95108,-3.18945,Entire home/apt,436,4,0,,,3,0,0,
12994477,The Old Gardner's Quarters - sleeps 2-6,31917630,Momo,,Tollcross,55.94437,-3.20867,Entire home/apt,182,2,247,2025-02-26,2.32,1,204,27,
13002836,"Lovely bright flat, very close to city centre",71694286,Jackie,,South Leith,55.96774,-3.17381,Entire home/apt,83,2,481,2025-02-16,4.50,1,24,68,
13010586,The Lothian Road Residence,646220,Reserve,,Tollcross,55.94496,-3.20411,Entire home/apt,189,1,29,2024-10-07,0.31,46,232,5,
13011011,"Central Ground floor New Town Apartment, sleeps 4",49331306,Kate,,Broughton North and Powderhall,55.96214,-3.19199,Entire home/apt,169,3,19,2025-01-14,0.20,1,345,3,EH-74197-F
13042719,Charming 2 Bed House With Parking In Stockbridge,54931381,Hector,,Stockbridge,55.95663,-3.21575,Entire home/apt,185,3,330,2025-02-23,3.09,1,143,39,
13076881,Double Room Private Bathroom,72513291,Gillian,,Deans Village,55.9441,-3.22483,Private room,93,2,350,2025-03-03,3.27,1,76,63,
13104826,Light and spacious Stockbridge flat,8538394,Adam,,Stockbridge,55.95813,-3.21727,Entire home/apt,,25,1,2023-11-02,0.06,2,25,0,
13107934,"Spacious, 3 bed funky apartment in Old Town",35932136,Caroline,,"Old Town, Princes Street and Leith Street",55.94839,-3.18629,Entire home/apt,243,2,393,2025-02-20,3.86,4,207,48,
13161519,Modern flat in Leith (20 mins from City Centre),73320120,Craig,,Western Harbour and Leith Docks,55.97966,-3.18148,Entire home/apt,,4,14,2024-08-12,0.13,1,0,3,
13163849,Advocates Penthouse - FREE WIFI,37408462,Ehab,,"Old Town, Princes Street and Leith Street",55.95022,-3.19028,Entire home/apt,459,3,7,2022-09-11,0.20,3,0,0,
13171781,Bright Apartment overlooking Holyrood Park,20362390,Steve,,Abbeyhill,55.95604,-3.16413,Entire home/apt,179,3,215,2025-02-23,2.03,2,153,40,EH-68621-P
13184247,The Holyrood Snug near Royal Mile,73750456,Emma,,Abbeyhill,55.95637,-3.1651,Entire home/apt,120,4,51,2023-10-23,0.48,1,120,0,
13203340,Charming Victorian flat near city centre,73971099,Nicola,,Hillside and Calton Hill,55.95977,-3.17081,Entire home/apt,66,5,273,2025-01-02,2.58,1,152,33,EH-74522-F
